"DEUDA DE SANGRE","CONNELLY, MICHAEL",""
"EL ECO NEGRO","CONNELLY, MICHAEL",""
"LA RUBIA DE HORMIGÓN","CONNELLY, MICHAEL",""
"EL ÚLTIMO COYOTE","CONNELLY, MICHAEL",""
"EL CUERPO DEL DELITO","CORNWELL, PATRICIA",""
"LA ESTRATEGIA DE LOS DIOSES","DÄNIKEN, ERICH VON",""
"EL DÍA QUE LLEGARON LOS DIOSES","DÄNIKEN, ERICH VON",""
"TESTIGO DE LOS DIOSES","DÄNIKEN, ERICK VON",""
"EL ORO DE LOS DIOSES","DÄNIKEN, ERICH VON",""
"EL MENSAJE DE LOS DIOSES","DÄNIKEN, ERICH VON",""
"LAS APARICIONES","DÄNIKEN, ERICH VON",""
"REGRESO A LAS ESTRELLAS","DÄNIKEN, ERICH VON",""
"TODOS SOMOD HIJOS DE DIOS","DÄNIKEN, ERICH VON",""
"RECUERDOS DEL FUTURO","DÄNIKEN, ERICH VON",""
"LA VERDAD SOBRE LAS PIEDRAS DE ICA","$OLÁZAR, Mª CARMEN - ARENAS, FÉLIX",""
"MEMORIAS DE UN BEDUINO EN EL C. DE LOS DIPUTADOS","LABORDETA, JOSE ANTONIO",""
"EL RABINO","GORDON, NOAH",""
"EL MÉDICO","GORDON, NOAH",""
"EL DIAMANTE DE JERUSALEM","GORDON, NOA",""
"TUTANKAMON","JACQ, CHRISTIAN",""
"EL EGIPTÓLOGO","JACQ, CHRISTIAN",""
"LA REINA EN EL PALACIO DE LAS CORRIENTES DE AIRE","LARSSON, STIEG",""
"LA CHICA QUE SOÑABA CON 1 CERILLA Y 1 BIDÓN DE GASOLINA","LARSSON, STIEG",""
"LOS HOMBRES QUE NO AMABAN A LAS MUJERES","LARSSON, STIEG",""
"EL PESO DEL CIELO","PERRY, ANNE",""
"MAREA INCIERTA","PERRY, ANNE",""
"EL MISTERIO DE BRUNSWEICK GARDENS","PERRY, ANNE",""
"VENGANZA...","PERRY, ANNE",""
"LOS ASESINATOS DE ...","PERRY, ANNE",""
"EL CADAVER...","PERRY, ANNE",""
"LA QUINTA MUJER","MANKELL, HENNING",""
