¿HAY ALGUIEN AHÍ?,"URMENETA, JORDI - NAVARRETE, ANTONI",XXX
EL DIABÓLICO INCONSCIENTE,"FREIXEDO, SALVADOR",XXX
LOS VIAJEROS DE LA MENTE,"VILA, ENRIQUE",XXX
MAIGRET (VARIOS TÍTULOS),"SIMENON, GEORGES",XXX
LOS NUEVOS AMOS DEL MUNDO,"TIEGLER, JEAN",XXX
LAS CARAS DE LA DISCORDIA,"FDEZ. BUENO, LORENZO - SENTINELLA, DAVID",XXX
EL NEGOCIO DE LA VIRGEN,"GARRIDO, MOISÉS",XXX
HATSHEPSUT LA REINA MISTERIOSA,"DESROCHES NOBLECOURT, CHRISTIANE",XXX
LA GUERRA DE LOS MUNDOS,"WELLS, H.G.",XXX
BIOGRAFÍA NO AUTORIZADA DEL VATICANO,"CAMACHO, SANTIAGO",XXX
20 GRANDES FRAUDES DE LA HISTORIA,"CAMACHO, SANTIAGO",XXX
EL GRAN COMPLOT,"GOODMAN, ROBERT",XXX
QUIEN TE HA VISTO Y QUIEN TE VE,"STUVEN, HUGO",XXX
EL HOMBRE DESNUDO,"MORRIS, DESMOND",XXX
LA MUJER DESNUDA,"MORRIS, DESMOND",XXX
LOS SABIOS DEL ANTIGUO EGIPTO,"JACQ, CHRISTIAN",XXX
DESAFÍOS A LA HISTORIA,"FDEZ. BUENO, LORENZO",XXX
LA CLAVE DE EINSTEIN,"ALPERT, MARK",XXX
EL SECRETO DE LOS ÁNGELES,"SIMONI, MARCELO",XXX
CLAVES OCULTAS DE EL SÍMBOLO PERDIDO,"FDEZ. BUENO, LORENZO",XXX
EL TESTAMENTO MAYA,"ALTEN, STEVEN",XXX
APOPHIS (EL AÑO DEL COMETA),"PALAO PONS, PEDRO",XXX
EL ÚLTIMO REDUCTO,"CORNWELL, PATRICIA",XXX
LA ISLA DE LOS PERROS,"CORNWELL, PATRICIA",XXX
LA CRUZ DEL SUR,"CORNWELL, PATRICIA",XXX
ADN ASESINO,"CORNWELL, PATRICIA",XXX
EL AVISPERO,"CORNWELL, PATRICIA",XXX
POST-MORTEM,"CORNWELL, PATRICIA",XXX
CAUSA DE MUERTE,"CORNWELL, PATRICIA",XXX
LA JOTA DE CORAZONES,"CORNWELL, PATRICIA",XXX
CRUEL Y EXTRAÑO,"CORNWELL, PATRICIA",XXX
AT RISK,"CORNWELL, PATRICIA",XXX
UN AMBIENTE EXTRAÑO,"CORNWELL, PATRICIA",XXX
LA GRANJA DE CUERPOS,"CORNWELL, PATRICIA",XXX
EL MISTERIO DE LAS PIRÁMIDES,"LAUER, JEAN PHILIPPE",XXX
COMO SE CONSTRUTERON LAS PIRÁMIDES,"HODGES, PETER",XXX
EL MENSAJE OCULTO DE LA ESFINGE,"WILSON, COLIN",XXX
LA RUTA DE ORELLANA : SEIS MIL KMS. DE SELVA,"VAZQUEZ-FIGUEROA, ALBERTO",XXX
ANTOLOGÍA DEL DISPARATE JUDICIAL,"TOMÁS Y VALIENTE, QUICO - PARDO, PACO",XXX
EL IMPERIO DE LAS TINIEBLAS (1º DE UNA TRILOGÍA),"JACQ, CHRISTIAN",XXX
LA PIRÁMIDE ASESINA (TRILOGÍA EL JUEZ DE EGIPTO),"JACQ, CHRISTIAN",XXX
LA LEY DEL DESIERTO (TRILOGÍA EL JUEZ DE EGIPTO),"JACQ, CHRISTIAN",XXX
LA JUSTICIA DEL VISIR (TRILOGÍA EL JUEZ DE EGIPTO),"JACQ, CHRISTIAN",XXX
EL IMPERIO DE LAS TINIEBLAS (1º DE UNA TRILOGÍA),"JACQ, CHRISTIAN",XXX
LAS EGIPCIAS,"JACQ, CHRISTIAN",XXX
LA SABIDURÍA VIVA DEL ANTIGUO EGIPTO,"JACQ, CHRISTIAN",XXX
